Date,Close,Open,High,Low,Volume,Change_pct,Ty_gia_ngoai_te,EMA20,EMA50,SMA20,SMA50,BB_Middle,BB_Upper,BB_Lower,BB_Width,RSI,MACD,Signal
2001-02-23,251.22,251.22,251.22,251.22,160.0,1.81,"14,565.0",235.89727221419247,203.7561618197571,237.7225,195.1086,237.7225,271.3335701531815,204.1114298468185,0.2827756746053191,73.71449786523115,16.83359600036502,18.899933002826696
2001-02-26,255.61,255.61,255.61,255.61,100.0,1.75,"14,565.0",237.77467486045984,205.7896456699627,240.1615,197.52,240.1615,271.3240141036974,208.9989858963026,0.2595129869166989,74.52320978769345,16.408607334336097,18.401667869128577
2001-02-28,252.4,252.4,252.4,252.4,290.0,-1.26,"14,562.0",239.16756296898745,207.6175027025132,242.25350000000003,199.83700000000002,242.25350000000003,270.5330766178384,213.97392338216167,0.2334709436011315,68.10503121557107,15.632577954007672,17.847849886104395
2001-03-02,253.64,253.64,253.64,253.64,210.0,0.49,"14,558.0",240.54589030527438,209.42230651810092,244.21949999999998,202.16819999999998,244.21949999999998,269.6455848032297,218.79341519677024,0.20822321561734214,66.21279906632951,14.945346069659053,17.26734912281533
2001-03-05,250.73,250.73,250.73,250.73,170.0,-1.15,"14,558.0",241.51580551429586,211.0422160664107,245.85,204.3914,245.85,268.2287474368446,223.47125256315533,0.18205204341545372,59.38313639094732,14.004462444375548,16.614771787127374
2001-03-07,248.05,248.05,248.05,248.05,200.0,-1.07,"14,553.0",242.1381097510296,212.4935017108652,247.14500000000004,206.53560000000002,247.14500000000004,266.5490098948639,227.74099010513618,0.15702530817830715,52.33547851359767,12.89391872149676,15.870601174001253
2001-03-09,252.61,252.61,252.61,252.61,120.0,1.84,"14,553.0",243.1354326318839,214.06669772220383,248.49200000000002,208.72119999999998,248.49200000000002,265.16755109165814,231.81644890834193,0.13421398750590044,52.46376811594206,12.240656047201412,15.144612148641285
2001-03-12,255.99,255.99,255.99,255.99,120.0,1.34,"14,553.0",244.35967714313304,215.71074879192133,249.87399999999997,210.9244,249.87399999999997,263.8903279221422,235.85767207785773,0.11218716570865508,45.30728918532634,11.858975535463458,14.48748482600572
2001-03-14,257.7,257.7,257.7,257.7,140.0,0.67,"14,549.0",245.63018408188228,217.35738609419892,251.125,213.107,251.125,262.9792508476017,239.2707491523983,0.09440916553590196,47.18196457326893,11.561203333555227,13.902228527515621
2001-03-16,258.52,258.52,258.52,258.52,100.0,0.32,"14,547.0",246.8577855978935,218.9716062473676,252.20250000000001,215.25100000000003,252.20250000000001,262.44778004292044,241.9572199570796,0.08124645903922782,52.90178571428569,11.26156752484016,13.374096326980531
2001-03-19,260.29,260.29,260.29,260.29,180.0,0.68,"14,547.0",248.13704411237984,220.5919354141375,253.14900000000003,217.3752,253.14900000000003,262.64712147631917,243.65087852368086,0.07503977085684048,60.59811122770202,11.039669754196296,12.907211012423684
2001-03-21,261.11,261.11,261.11,261.11,80.0,0.32,"14,545.0",249.37256372072463,222.18087912338703,253.9145,219.4606,253.9145,263.386540796052,244.44245920394806,0.07460811254222942,66.98403808457022,10.805423127575608,12.48685343545407
2001-03-23,259.6,259.6,259.6,259.6,140.0,-0.58,"14,544.0",250.3466052711318,223.64829562835226,254.38299999999998,221.4606,254.38299999999998,264.0132967107358,244.7527032892642,0.0757149393688714,69.88022202746134,10.37830200270102,12.065143148903461
2001-03-26,260.11,260.11,260.11,260.11,80.0,0.2,"14,544.0",251.2764523881669,225.07816638802473,254.392,223.41559999999998,254.392,264.0444348714371,244.7395651285629,0.07588630830715663,69.65862271924667,9.966075457540569,11.645329610630883
2001-03-28,264.7,264.7,264.7,264.7,90.0,1.76,"14,544.0",252.55488549405575,226.63196378457278,254.61949999999996,225.3956,254.61949999999996,265.0282037971501,244.2107962028498,0.08175888961489727,69.76539589442817,9.895686278767698,11.295400944258247
2001-03-30,269.3,269.3,269.3,269.3,40.0,1.74,"14,542.0",254.1496583041457,228.3052201067464,255.27549999999997,227.47119999999998,255.27549999999997,267.57950444014557,242.97149555985433,0.09639784812992724,69.95045176333433,10.094718275127775,11.055264410432153
2001-04-02,274.43,274.43,274.43,274.43,140.0,1.9,"14,542.0",256.08111941803656,230.11403500452104,256.3865,229.63639999999998,256.3865,271.267831682062,241.505168317938,0.11608514240852784,80.40298095500972,10.544846269140635,10.953180782173849
2001-04-04,279.56,279.56,279.56,279.56,60.0,1.87,"14,542.0",258.3172032829855,232.05309245532416,257.9155,231.9156,257.9155,275.6106060436127,240.2203939563873,0.1372163056785085,82.30309072781661,11.186572232892644,10.999859072317609
2001-04-06,284.69,284.69,284.69,284.69,30.0,1.84,"14,546.0",260.8288982084154,234.11728490805655,259.8505,234.2348,259.8505,280.30366341508494,239.39733658491505,0.15742254423281804,90.10392064241857,11.971097449702427,11.194106747794573
2001-04-09,289.82,289.82,289.82,289.82,150.0,1.8,"14,546.0",263.58995552189964,236.30170510774062,262.004,236.5938,262.004,285.4936307694303,238.51436923056974,0.179307421027391,96.62871176601922,12.858561964870148,11.526997791209688
2001-04-11,295.09,295.09,295.09,295.09,100.0,1.82,"14,553.0",266.5899597579092,238.60712843684883,264.1975,238.99559999999997,264.1975,291.35409452721825,237.04090547278173,0.20557798258665022,96.6813186813187,13.827731462909071,11.987144525549564
2001-04-13,300.36,300.36,300.36,300.36,70.0,1.79,"14,559.0",269.80615406667977,241.02880967461948,266.43500000000006,241.4402,266.43500000000006,297.6789841788523,235.1910158211478,0.23453363243456943,96.81367377083775,14.849870169772544,12.55968965439416
2001-04-16,306.16,306.16,306.16,306.16,40.0,1.93,"14,557.0",273.26842510794836,243.582974001105,269.123,243.9382,269.123,304.2871971628133,233.95880283718668,0.26132435475833216,97.06682206682208,15.944139866947353,13.2365796969048
2001-04-18,311.96,311.96,311.96,311.96,60.0,1.89,"14,555.0",276.95333700242946,246.26442600106165,272.03900000000004,246.3786,272.03900000000004,311.238081031118,232.8399189688821,0.28818721603239195,97.32554020545521,17.08245213832987,14.005754185189815
2001-04-20,317.76,317.76,317.76,317.76,120.0,1.86,"14,559.0",280.83968585934093,249.06817400102003,275.3905,249.0442,275.3905,318.21298080278854,232.5680191972114,0.31099461167170667,97.50371962307821,18.242298480429213,14.853063044237695
2001-04-23,313.74,313.74,313.74,313.74,320.0,-1.27,"14,559.0",283.9730491108323,251.60432404019573,278.675,251.56660000000002,278.675,322.7271353804657,234.62286461953434,0.3161541966840634,91.31731826032347,18.622436799960894,15.606937795382336
2001-04-25,315.27,315.27,315.27,315.27,420.0,0.49,"14,562.0",286.95371110027685,254.10101721509002,281.808,254.0498,281.808,326.9540822337061,236.66191776629387,0.3204031271908968,93.69015853084291,18.830095747742575,16.251569385854385
2001-04-27,321.07,321.07,321.07,321.07,50.0,1.84,"14,564.0",290.202881471679,256.7272518341061,285.062,256.57419999999996,285.062,331.72871691225276,238.39528308774723,0.3274145057022877,94.17391304347828,19.240881581500332,16.849431824983576
2001-05-02,327.13,327.13,327.13,327.13,40.0,1.89,"14,564.0",293.7197499029477,259.4881439190431,288.5335,259.1452,288.5335,336.92766679724855,240.1393332027515,0.33544920639890013,94.29544487015754,19.82687183209123,17.444919826405105
2001-05-04,332.0,332.0,332.0,332.0,120.0,1.49,"14,566.0",297.36548800742884,262.33174611829634,292.2075,261.7388,292.2075,342.14016829599433,242.27483170400563,0.34176171587652165,94.31721798134014,20.448523773926297,18.045640615909342
2001-05-07,338.35,338.35,338.35,338.35,70.0,1.91,"14,571.0",301.26877486386417,265.3128541136573,296.1105,264.444,296.1105,347.71379303037594,244.50720696962406,0.34854078481091305,94.41356309060592,21.209094112698267,18.678331315267126
2001-05-09,344.47,344.47,344.47,344.47,160.0,1.81,"14,579.0",305.3831772577819,268.4170559131217,300.2785,267.1968,300.2785,353.4216751423494,247.13532485765063,0.35395924211922847,94.48937628512682,22.051488604753843,19.35296277316447
2001-05-11,351.06,351.06,351.06,351.06,30.0,1.91,"14,586.0",309.7333508522788,271.65795568123457,304.8515,270.0068,304.8515,358.98721611189103,250.71578388810897,0.3551612251334898,94.59750033597636,22.985883279671953,20.07954687446597
