Date,Price,Open,High,Low,Vol.,Change %
2024-09-23,"1,268.48","1,275.15","1,276.99","1,267.87",564.22K,-0.28%
2024-09-24,"1,276.99","1,268.48","1,276.99","1,266.68",817.54K,0.67%
2024-09-25,"1,287.48","1,276.99","1,288.44","1,276.99",992.83K,0.82%
2024-09-26,"1,291.49","1,290.03","1,298.71","1,289.15",956.80K,0.31%
2024-09-27,"1,290.92","1,295.03","1,300.31","1,287.21",950.80K,-0.04%
2024-09-30,"1,287.94","1,290.92","1,292.03","1,283.92",748.40K,-0.23%
2024-10-01,"1,292.20","1,287.94","1,302.22","1,287.94",982.29K,0.33%
2024-10-02,"1,287.84","1,292.20","1,293.69","1,285.14",771.12K,-0.34%
2024-10-03,"1,278.10","1,287.84","1,299.36","1,276.51",1.04M,-0.76%
2024-10-04,"1,270.60","1,278.90","1,279.33","1,270.60",610.07K,-0.59%
2024-10-07,"1,269.93","1,270.60","1,278.61","1,264.65",542.59K,-0.05%
2024-10-08,"1,271.98","1,269.93","1,275.82","1,266.94",678.71K,0.16%
2024-10-09,"1,281.85","1,273.96","1,283.01","1,273.04",676.89K,0.78%
2024-10-10,"1,286.36","1,281.85","1,294.33","1,281.85",720.09K,0.35%
2024-10-11,"1,288.39","1,286.36","1,289.37","1,283.56",531.74K,0.16%
2024-10-14,"1,286.34","1,288.39","1,297.67","1,286.13",795.71K,-0.16%
2024-10-15,"1,281.08","1,287.81","1,294.05","1,279.81",712.09K,-0.41%
2024-10-16,"1,279.48","1,279.86","1,283.33","1,276.40",536.68K,-0.12%
2024-10-17,"1,286.52","1,279.48","1,286.52","1,271.82",685.24K,0.55%
2024-10-18,"1,285.46","1,291.16","1,294.10","1,285.46",689.07K,-0.08%
2024-10-21,"1,279.77","1,284.17","1,287.71","1,279.77",622.81K,-0.44%
2024-10-22,"1,269.89","1,280.21","1,280.21","1,265.44",793.92K,-0.77%
2024-10-23,"1,270.90","1,270.58","1,273.21","1,263.26",589.86K,0.08%
2024-10-24,"1,257.41","1,271.17","1,274.11","1,257.41",673.14K,-1.06%
2024-10-25,"1,252.72","1,257.41","1,261.72","1,251.75",569.10K,-0.37%
2024-10-28,"1,254.77","1,252.72","1,255.18","1,250.94",482.69K,0.16%
2024-10-29,"1,261.78","1,258.03","1,262.38","1,257.43",875.05K,0.56%
2024-10-30,"1,258.63","1,261.78","1,264.84","1,255.07",536.85K,-0.25%
2024-10-31,"1,264.48","1,258.63","1,267.88","1,255.55",614.27K,0.46%
2024-11-01,"1,254.89","1,264.48","1,264.67","1,254.33",580.51K,-0.76%
2024-11-04,"1,244.71","1,254.89","1,256.96","1,242.36",709.67K,-0.81%
2024-11-05,"1,245.76","1,244.71","1,248.97","1,243.55",416.47K,0.08%
2024-11-06,"1,261.28","1,251.22","1,262.44","1,250.57",566.91K,1.25%
2024-11-07,"1,259.75","1,261.28","1,267.09","1,259.75",499.26K,-0.12%
2024-11-08,"1,252.56","1,259.75","1,264.09","1,250.77",555.50K,-0.57%
2024-11-11,"1,250.32","1,253.81","1,253.87","1,241.29",796.48K,-0.18%
2024-11-12,"1,244.82","1,250.32","1,257.02","1,242.91",600.65K,-0.44%
2024-11-13,"1,246.04","1,244.82","1,247.04","1,234.62",660.55K,0.10%
2024-11-14,"1,231.89","1,246.04","1,247.07","1,231.69",692.59K,-1.14%
2024-11-15,"1,218.57","1,229.36","1,229.59","1,217.03",750.57K,-1.08%
2024-11-18,"1,217.12","1,218.57","1,225.38","1,204.60",646.15K,-0.12%
2024-11-19,"1,205.15","1,217.12","1,221.40","1,205.15",511.89K,-0.98%
2024-11-20,"1,216.54","1,205.15","1,222.73","1,197.99",767.53K,0.95%
2024-11-21,"1,228.33","1,216.54","1,228.55","1,214.06",482.15K,0.97%
2024-11-22,"1,228.10","1,228.33","1,233.42","1,226.33",534.44K,-0.02%
2024-11-25,"1,234.70","1,228.10","1,236.57","1,228.10",497.81K,0.54%
2024-11-26,"1,242.13","1,234.70","1,246.83","1,234.70",575.10K,0.60%
2024-11-27,"1,241.97","1,242.13","1,245.34","1,239.23",428.81K,-0.01%
2024-11-28,"1,242.11","1,246.37","1,250.46","1,240.91",477.49K,0.01%
2024-11-29,"1,250.46","1,242.51","1,250.92","1,241.00",502.81K,0.67%
2024-12-02,"1,251.21","1,250.46","1,258.05","1,247.74",497.42K,0.06%
2024-12-03,"1,249.83","1,251.21","1,253.83","1,244.91",673.40K,-0.11%
2024-12-04,"1,240.41","1,249.83","1,249.83","1,239.82",575.02K,-0.75%
2024-12-05,"1,267.53","1,241.81","1,269.18","1,238.49",908.39K,2.19%
2024-12-06,"1,270.14","1,270.96","1,276.10","1,268.58",694.79K,0.21%
2024-12-09,"1,273.84","1,270.14","1,277.69","1,268.69",761.00K,0.29%
2024-12-10,"1,272.07","1,273.84","1,277.32","1,270.32",631.45K,-0.14%
2024-12-11,"1,268.86","1,273.23","1,276.67","1,264.15",627.53K,-0.25%
2024-12-12,"1,267.35","1,268.86","1,275.64","1,265.99",554.12K,-0.12%
2024-12-13,"1,262.57","1,267.35","1,267.35","1,260.48",478.79K,-0.38%
2024-12-16,"1,263.79","1,262.57","1,267.10","1,258.65",538.93K,0.10%
2024-12-17,"1,261.72","1,263.79","1,265.45","1,260.60",502.25K,-0.16%
2024-12-18,"1,266.00","1,261.72","1,266.53","1,261.49",531.46K,0.34%
2024-12-19,"1,254.67","1,256.90","1,259.76","1,249.39",779.41K,-0.89%
2024-12-20,"1,257.50","1,254.67","1,259.00","1,253.90",568.92K,0.23%
2024-12-23,"1,262.76","1,257.50","1,265.20","1,257.50",494.70K,0.42%
2024-12-24,"1,260.36","1,262.76","1,263.17","1,253.78",643.16K,-0.19%
2024-12-25,"1,274.04","1,260.81","1,283.09","1,260.81",810.46K,1.09%
2024-12-26,"1,272.87","1,275.68","1,277.17","1,271.99",595.22K,-0.09%
2024-12-27,"1,275.14","1,272.87","1,277.89","1,272.23",670.32K,0.18%
2024-12-30,"1,272.02","1,275.14","1,275.14","1,268.77",527.66K,-0.24%
2024-12-31,"1,266.78","1,272.25","1,272.46","1,266.78",480.54K,-0.41%
2025-01-02,"1,269.71","1,266.78","1,271.13","1,263.25",428.14K,0.23%
2025-01-03,"1,254.59","1,268.74","1,269.01","1,254.59",560.47K,-1.19%
2025-01-06,"1,246.35","1,254.59","1,260.37","1,244.87",565.15K,-0.66%
